Country,Regulation Name,Regulatory Domain,Status,Effective Date,Compliance Deadline,Regulatory Authority,Summary,Key Obligations for US SaaS/AI/eSign Companies,Penalties,Extraterritorial Application to US Companies,Priority Score (1-10),Source URL
Singapore,Cybersecurity Act - ESCI Designation,Cybersecurity,Pending,2026 (expected),TBD,Cyber Security Agency of Singapore (CSA),"Entities of Special Cybersecurity Interest (ESCI) regime for companies holding sensitive data or performing critical functions","If designated: enhanced cybersecurity obligations; reporting requirements; compliance audits","Civil penalties up to 10% of Singapore turnover or SGD $500,000",Yes - applies based on activities in Singapore,8,https://privacymatters.dlapiper.com/2025/12/singapore-key-amendments-to-the-cybersecurity-act-now-in-force/
Singapore,AI Assurance Framework,AI Governance,Proposed,2026 (expected),Voluntary,Infocomm Media Development Authority (IMDA),"Framework to unify technical, organizational, and ethical testing criteria for AI systems","Prepare for unified AI testing requirements; align with AI Verify platform; implement governance structures",None (voluntary initially),Yes - applies to AI systems deployed in Singapore market,6,https://www.imda.gov.sg/about-imda/emerging-technologies-and-research/artificial-intelligence
Singapore,PDPA - Data Portability Obligation,Data Privacy,Pending,TBD,TBD,Personal Data Protection Commission (PDPC),"Mandatory obligation to provide individual's data to another organization in machine-readable format","Implement data export capabilities; machine-readable format support; portability request handling","Up to SGD $1 million or 10% of annual Singapore turnover",Yes - applies to organizations processing Singaporean data,6,https://practiceguides.chambers.com/practice-guides/data-protection-privacy-2025/singapore/trends-and-developments
Singapore,Electronic Transactions Act 2010,eSignature,Active,2010 (Amended 2021),Ongoing,Infocomm Media Development Authority (IMDA),"Legal recognition of electronic signatures; secure e-signatures have same legal effect as handwritten signatures; MLETR adoption","Ensure e-signature solutions meet ETA requirements; consider secure e-signature certification",N/A (enabling legislation),Yes - applies to transactions in Singapore,5,https://www.imda.gov.sg/regulations-and-licensing-listing/electronic-transactions-act-and-regulations
Japan,AI Promotion Act,AI Governance,Active,September 1 2025 (ongoing),Ongoing,AI Strategic Headquarters (Prime Minister's Office),"Innovation-first AI framework; non-binding duties for private sector; transparency and accountability principles","Implement AI governance per guidelines; transparency in AI operations; risk management (voluntary but expected)",Government warnings; no statutory penalties,Yes - applies to AI systems offered in Japan,7,https://iapp.org/news/a/japan-passes-innovation-focused-ai-governance-bill
Japan,Active Cyber Defense Act - CI Incident Reporting,Cybersecurity,Enacted,November 2026 (or before),November 2026,National Cybersecurity Office (NCO),"Mandatory incident reporting for specified essential infrastructure providers under Active Cyber Defense framework","CI providers: implement incident reporting systems; comply with enhanced cybersecurity requirements",Administrative penalties,Yes - applies to infrastructure providers serving Japan,8,https://iclg.com/practice-areas/cybersecurity-laws-and-regulations/japan
Japan,APPI Amendments - Administrative Fines,Data Privacy,Proposed,Expected 2026-2027,TBD,Personal Information Protection Commission (PPC),"Introduction of administrative monetary penalty system (kacho-kin); injunctive relief mechanisms; strengthened cross-border transfer requirements","Prepare for GDPR-style administrative fines; enhanced cross-border transfer compliance; consent management",Administrative fines (quantum TBD - likely significant),Yes - extraterritorial application to foreign entities targeting Japan,9,https://iapp.org/news/a/practical-notes-for-japans-important-updates-of-the-appi-guidelines-and-qas
Japan,Economic Security Promotion Act - Cloud Designation,Critical Infrastructure,Active,Ongoing,Ongoing,Ministry of Economy Trade and Industry (METI),"Cloud programs designated as specified critical products; enhanced scrutiny for services managing government/CI data","If providing cloud to government/CI: meet security and sovereignty standards; supply chain risk management",Administrative orders; potential exclusion from contracts,Yes - applies to foreign cloud providers serving Japanese government/CI,8,https://www.meti.go.jp/english/press/2024/0419_001.html
Japan,Electronic Signatures Act,eSignature,Active,2001 (Guidelines updated June 2025),Ongoing,Ministry of Economy Trade and Industry (METI),"Legal recognition of electronic signatures; PKI-based and cloud-based signatures valid per 2020 METI guidance","Ensure e-signature solutions meet Japanese requirements; consider certification for evidentiary value",N/A (enabling legislation),Yes - applies to transactions in Japan,5,https://helpx.adobe.com/legal/esignatures/regulations/japan.html
South Korea,AI Basic Act (Framework Act),AI Governance,Enacted,January 22 2026,January 22 2026,National AI Committee / Ministry of Science and ICT,"First comprehensive AI law in APAC; risk-based approach; mandatory labeling for GenAI; high-impact AI requirements","User notification of AI use; impact assessments for high-impact AI; risk management systems; domestic representative appointment; transparency on training data","Administrative fines up to KRW 30 million (~USD 21,000)",Yes - requires domestic representative for foreign companies,9,https://erp.today/south-koreas-ai-basic-law-takes-effect-in-2026-what-businesses-need-to-know/
South Korea,PIPA - Domestic Representative Requirement,Data Privacy,Enacted,October 2 2025,October 2 2025,Personal Information Protection Commission (PIPC),"Foreign businesses operating in Korea must appoint domestic representative for privacy matters","Appoint Korean domestic representative; implement data protection measures meeting Korean standards","Up to 3% of total sales revenue",Yes - specifically targets foreign businesses,8,https://crossborderadvisorysolutions.com/personal-information-protection-act-pipa-updates-2025/
South Korea,PIPA - Data Portability Rights,Data Privacy,Active,March 13 2025,March 13 2025,Personal Information Protection Commission (PIPC),"Individuals can request transfer of personal data to another provider in secure, machine-readable format","Implement data portability mechanisms (encrypted downloads or APIs); respond to portability requests","Up to 3% of total sales revenue",Yes - applies to entities processing Korean personal data,7,https://crossborderadvisorysolutions.com/personal-information-protection-act-pipa-updates-2025/
South Korea,PIPA - Cross-Border Transfer Restrictions,Data Privacy,Active,2025 (ongoing),Ongoing,Personal Information Protection Commission (PIPC),"Enhanced cross-border transfer requirements; PIPC can order suspension of transfers; adequacy framework","Ensure transfers meet adequacy standards or use certified mechanisms; prepare for potential transfer suspension","Up to 3% of sales; potential transfer suspension orders",Yes - applies to transfers of Korean personal data,8,https://www.dlapiperdataprotection.com/index.html?t=transfer&c=KR
India,DPDP Act - Phase 1 Implementation,Data Privacy,Active,November 13 2025 (ongoing),May 2027 (18 months),Data Protection Board of India,"Comprehensive data protection law; consent requirements; breach notification; data principal rights","72-hour breach notification; verifiable parental consent for minors; privacy notices; data deletion workflows","Up to INR 250 crore (~USD 30 million)",Yes - applies to processing of Indian data regardless of location,9,https://iapp.org/news/a/with-rules-finalized-india-s-dpdpa-takes-force
India,DPDP Act - Consent Manager Registration,Data Privacy,Pending,November 13 2026,November 13 2026,Data Protection Board of India,"Implementation of consent manager registration and certification requirements","If operating as consent manager: register with Data Protection Board; meet operational requirements","Administrative penalties",Yes - applies to consent management services in India,6,https://secureprivacy.ai/blog/india-dpdp-act-phase-1
India,DPDP Act - Cross-Border Transfer Rules,Data Privacy,Active,November 13 2025,Ongoing,Data Protection Board of India,"Permissive approach - transfers allowed unless to blacklisted countries; government retains power to restrict","Monitor blacklist updates; implement transfer conditions if required by government directives","Up to INR 250 crore (~USD 30 million)",Yes - applies to transfers of Indian personal data,7,https://www.medianama.com/2025/11/223-dpdp-rules-cross-border-data-transfers/
India,AI Governance Guidelines,AI Governance,Active,November 2025,Voluntary,Ministry of Electronics and Information Technology (MeitY),"Light-touch, innovation-first guidelines; no AI-specific law; relies on existing regulations","Voluntary compliance with AI governance principles; sector-specific guidance; risk classification awareness",None (voluntary),Yes - applies to AI services in Indian market,5,https://www.pib.gov.in/PressNoteDetails.aspx?id=156786&NoteId=156786&ModuleId=3&reg=3&lang=1
Indonesia,PDP Law - Full Implementation,Data Privacy,Active,October 17 2024,October 17 2024 (transition ended),Personal Data Protection Agency (forming 2026),"Comprehensive data protection framework; extraterritorial scope; cross-border transfer impact assessments","Full PDP Law compliance; prepare TIA for cross-border transfers within 60 days; data security measures","Up to 2% of annual revenue; criminal penalties up to IDR 60 billion for corporations",Yes - explicit extraterritorial application to foreign entities,8,https://www.rajahtannasia.com/viewpoints/new-law-on-personal-data-protection-comes-into-operation-on-1-january-2026/
Indonesia,PDP Agency Establishment,Data Privacy,Pending,2026 (targeted),2026,Personal Data Protection Agency,"Dedicated agency for PDP Law enforcement and oversight to be formed and operational","Prepare for active enforcement; implement comprehensive compliance programs",Enhanced enforcement expected,Yes - will enforce against foreign entities,7,https://practiceguides.chambers.com/practice-guides/data-protection-privacy-2025/indonesia/trends-and-developments
Indonesia,AI Presidential Regulation,AI Governance,Proposed,Early 2026,TBD,Ministry of Communication and Digital Affairs,"First comprehensive AI regulation covering ethics, safety, and security","Monitor development; prepare for ethics and safety requirements; align with eventual regulations",TBD,Yes - expected to apply to AI services in Indonesia,6,https://completeaitraining.com/news/indonesia-pushes-back-ai-roadmap-to-early-2026-ethics-first/
Philippines,Data Privacy Act - NPC Registration,Data Privacy,Active,Ongoing,Ongoing,National Privacy Commission (NPC),"Mandatory registration of data processing systems with NPC; enhanced enforcement","Register data processing systems with NPC; comply with privacy impact assessment requirements","Imprisonment 1-6 years; fines PHP 500,000 to PHP 5 million",Yes - applies to processing of Filipino personal data,6,https://www.dataguidance.com/jurisdictions/philippines
Philippines,AI Development Act (Proposed),AI Governance,Proposed,TBD,TBD,Department of Information and Communications Technology,"Proposed creation of AI Development Authority (AIDA); AI Bill of Rights; risk-based classification","Monitor legislative developments; prepare for potential registration and audit requirements",TBD,Yes - expected to apply to AI services in Philippines,5,https://fulcrum.sg/philippine-ai-governance-time-to-shift-gears/
Philippines,COMELEC AI Content Rules,AI Governance,Active,2025,Ongoing,Commission on Elections (COMELEC),"Electoral AI regulation: bans bots and fake accounts; requires AI-generated content labeling","If operating platforms with Filipino users during elections: implement content labeling; prevent coordinated inauthentic behavior",Administrative penalties; potential criminal liability,Yes - applies to platforms accessible in Philippines during elections,6,https://regulations.ai/regulations/RAI-PH-NA-SUMMARY-2026
New Zealand,Privacy Amendment Act - IPP3A,Data Privacy,Enacted,May 1 2026,May 1 2026,Office of the Privacy Commissioner,"New Information Privacy Principle 3A requiring notification when personal information collected indirectly","Implement notification systems for indirect data collection; update privacy notices","Privacy Commissioner compliance and access direction powers",Yes - extraterritorial scope for businesses in NZ,7,https://www.privacy.org.nz/blog/privacy-2-0/
New Zealand,Biometrics Processing Privacy Code,Data Privacy,Enacted,August 3 2026 (existing processing),November 3 2025 (new),Office of the Privacy Commissioner,"Specific code for biometric data processing with enhanced requirements","If processing biometrics: comply with Code requirements; implement enhanced safeguards","Privacy Commissioner enforcement powers",Yes - applies to biometric processing of NZ individuals,6,https://www.privacy.org.nz/the-privacy-act-and-codes/privacy-law-reform/privacy-cross-border-information-amendment-bill/
New Zealand,AI Strategy and Responsible AI Guidance,AI Governance,Active,2025,Voluntary,Ministry of Business Innovation and Employment,"Light-touch, principles-based approach; voluntary guidance for businesses; alignment with OECD AI principles","Voluntary adoption of Responsible AI Guidance; governance structures; stakeholder engagement",None (voluntary),Yes - voluntary guidance for NZ market participants,4,https://www.mbie.govt.nz/about/news/artificial-intelligence-strategy-and-business-guidance-now-available
Hong Kong,Protection of Critical Infrastructure (Computer Systems) Ordinance,Cybersecurity,Active,January 2026,January 2026,Commissioner of Critical Infrastructure (Computer Systems),"First comprehensive cybersecurity statute; obligations for critical infrastructure operators","If designated CI operator: implement security measures; incident reporting; audit compliance",Administrative penalties,Yes - applies to CI operators regardless of ownership,7,https://law.asia/hong-kong-ai-regulation-patchwork-compliance-governance/
Hong Kong,PDPO - Proposed Amendments,Data Privacy,Proposed,TBD,TBD,Privacy Commissioner for Personal Data (PCPD),"Proposed: mandatory breach notification; data retention policies; administrative fines; direct processor regulation","Monitor developments; prepare for potential breach notification and enhanced obligations","Proposed administrative fines",Yes - applies to data users handling HK personal data,6,https://www.dlapiperdataprotection.com/index.html?t=law&c=HK
Hong Kong,Generative AI Technical Guidelines,AI Governance,Active,April 2025,Voluntary,Digital Policy Office,"Voluntary guidelines for ethical and responsible GenAI development, deployment, and use","Voluntary compliance with best practice framework; implement governance strategies",None (voluntary),Yes - applies to GenAI services in HK market,4,https://www.digitalpolicy.gov.hk/en/our_work/data_governance/policies_standards/ethical_ai_framework/
Hong Kong,Greater Bay Area Cross-Border Data Framework,Data Privacy,Active,December 2023,Ongoing,PCPD / Cyberspace Administration of China,"Framework for cross-border data transfer within Guangdong-Hong Kong-Macau Greater Bay Area","If transferring data within GBA: follow implementation guidelines; consider contractual protections",Administrative guidance,Yes - relevant for US companies with GBA data flows,5,https://www.pcpd.org.hk/english/resources_centre/publications/files/GN_crossborder_e.pdf
